Nom histoire;Fréquence %;Sprite ID;;;;;;
Labyrinthe;1,49;1;;;;;;
Narrator : L'ile est couverte de sapins à perte de vue. On ne voit pas à quelques mètres derrière les arbres.;;;;;;;;
[choix bateau];;;;;;;;
SetChoices2;;;;;;;;
Choice : (partir);Choice : (entrer dans la foret);;;;;;;
Leave;Node=>entrée forêt;;;;;;;
;;;;;;;;
[entrée forêt];;;;;[description de rien];;;
CheckQuest=>choix bateau;;;;;RandomRedoRange3;;;
Narrator :  NOMBATEAU s'eloigne de plus en plus, on ne voit que son mat derrirère les immenses arbres.;;;;;Narrator : Le feuillage des arbres s’épaissit avec la brume. On ne voit plus rien a un mètre.;Narrator : CAPITAINE a déjà vu ces rochers, ces racines et ces sapins. On tourne en rond.;Narrator : Un immense falaise bloque le chemin. Depuis son sommet, CAPITAINE voit des sapins a perte de vue. L’horizon ne presente pas un bout d ocean.;
SetChoices2;;;;;Node=>choix 1;Node=>choix 1;Node=>choix 1;
Choice : (rebrousser chemin);Choice : (continuer vers la forêt);;;;;;;
Fade;Node=>choix 1;;;;;;;
Node=>choix bateau;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[choix 1];;;;;;;;
ChangeTimeOfDay;;;;[lieu 1];;;;
Narrator :  Un immense arbre tordu fait de l’ombre à un gros rocher mousseux.;;;;RandomPercent80;;;;
SetChoices3;;;;Node=>description de rien;RandomRange4;;;
Choice : (contourner le rocher);Choice : (prendre la direction de l’arbre);Choice : (passer entre les deux);;;ChangeStory=>Bandits[debut/choix 1];ChangeStory=>Manoir Abandonné[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Node=>lieu 1;Node=>choix 2;Node=>lieu 1;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[choix 2];;;;;;;;
Fade;;;;[lieu 2];;;;
Narrator : Une cavité fend une falaise colossale. CAPITAINE entend un ruissellement au loin.;;;;RandomPercent80;;;;
SetChoices3;;;;Node=>description de rien;RandomRange4;;;
Choice : (suivre ruissellement);Choice : (grimper falaise);Choice : (entrer dans cavité);;;ChangeStory=>Bandits[debut/choix 1];ChangeStory=>Manoir Abandonné[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Node=>lieu 2;Node=>lieu 2;Node=>choix 3;;;;;;
;;;;;;;;
;;;;;;;;
[choix 3];;;;[lieu 3];;;;
Narrator : Un champs de blé s’étend devant CAPITAINE en sortant de la cavité. A l’est, d’imposantes cimes sapinesques.;;;;RandomPercent80;;;;
Narrator : Une brume épaisse voile l’ouest.;;;;Node=>description de rien;RandomRange4;;;
SetChoices3;;;;;ChangeStory=>Bandits[debut/choix 1];ChangeStory=>Manoir Abandonné[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Choice : (vers les cimes);Choice : (vers le brouillard);Choice : (traverser le champs);;;;;;
Node=>lieu 3;Node=>choix 4;Node=>lieu 3;;;;;;
;;;;;;;;
;;;;;;;;
[choix 4];;;;[lieu 4];;;;
Narrator : La brume dévoile une clairière. Elle est traversée par une rivière et recouverte d’un tapis de feuille morte.;;;;RandomPercent80;;;;
SetChoices3;;;;Node=>description de rien;RandomRange4;;;
Choice : (descendre la rivière);Choice : (remonter la rivière);Choice : (traverser la rivière);;;ChangeStory=>Bandits[debut/choix 1];ChangeStory=>Manoir Abandonné[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Node=>lieu 4;Node=>lieu 4;Node=>choix 5;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[choix 5];;;;[lieu 5];;;;
Narrator : Une plaine verdoyante s’étend à perte de vue. Elle est bordée, à l’est, par un marécage, et à l’ouest par une un gigantesque saule pleureur.;;;;RandomPercent80;;;;
SetChoices3;;;;Node=>description de rien;RandomRange4;;;
Choice : (vers le saule);Choice : (vers le marécage);Choice : (traverser la plaine);;;ChangeStory=>Bandits[debut/choix 1];ChangeStory=>Manoir Abandonné[debut/choix 1];ChangeStory=>Bois[milieu foret/choix 1];ChangeStory=>Ferme[debut/choix 1]
Node=>lieu 5;Node=>fin;Node=>lieu 5;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
[fin];;;;;;;;
RandomRange2;;;;;;;;
Node=>bateau;Node=>butin;;;;;;;
;;;;;;;;
[bateau];;[butin];;;;;;
Narrator : Après des heures marche dans la boue, le Mat de BATEAU apparaît.;;Narrator : Au beau milieu du marécage, une petite grotte apparaît devant CAPITAINE.;;;;;;
PlayerSpeak : Enfin !;;SetChoices2;;;;;;
SetChoices1;;Choice : (entrer);Choice : (continuer sa route);;;;;
Choice . (partir);;Fade;Node=>bateau;;;;;
Leave;;PlayerSpeak : Quel immense butin !;;;;;;
;;Loot;;;;;;
;;SetChoices1;;;;;;
;;Choice : (sortir)(partir);;;;;;
;;Node=>bateau;;;;;;
