Nom;Fréquence / 5;;;;;
Bateau pirate;15,38;bateau radeau;;;;
[debut];;;;;;
Narrator : Un miniscule rafiot tape la coque du NOMBATEAU. Une personne maigre appelle à l'aide en direction de CAPITAINE;;;;;;
SetChoices2;;;;;;
Choice : (tracer sa route);Choice : Vous allez bien monsieur !?;;;;;
PlayerSpeak : On a rien à faire ici !;Fade;;;;;
Leave;Node=>naufragé;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
[naufragé];Node=>plage déserte;OtherSpeak : Oh non encore vous !;;;;
NewCrew1;;OtherSpeak : Je vous en pris laissez moi en vie;;;;
OtherSpeak : Ça fait des jours que je ne mange que des méduses !;;Node=>combat dialogue;;;;
OtherSpeak : Emmenez moi avec vous, je vous en prie !;;;;;;
[dialogue];;;;;;
SetChoices3;;;;;;
Choice : Monte !;Choice : Donne nous tout ce que tu as ou on te croque la bite.;;Choice : Désolé mon gars, pas assez de place à bord;;;
OtherSpeak : Merci m'sieur !;RandomRange2;;RandomRange2;;;
AddMember;OtherSpeak : Mais je n'ai absolument rien !;Node=>combat naufragé;OtherSpeak : Donnez moi au moins quelque chose à manger;;;Node=>combat naufragé
Node=>plage déserte;Node=>combat dialogue;;SetChoices2;;;
;;;Choice : Tiens.;;Choice : Non continue à manger des méduses.;
;;;RemoveFromInventory/Food;;OtherSpeak : Vous êtes sans coeur !;
;;;OtherSpeak : Merci…;OtherSpeak : Mais… Vous n'avez rien…;Node=>plage déserte;
;;;HideOther;HideOther;;
;;;Node=>debut;Node=>debut;;
;;;;;;
;;;;;;
[combat dialogue];;;;;;
SetChoices2;;;;;;
Choice : Rien à foutre;;Choice : Mon couillon t'es en vaine : On s'en va.;;;;
RandomRange2;;OtherSpeak : …;;;;
OtherSpeak : Tenez…;OtherSpeak : Faudra passer sur mon cadavre ! ;Leave;;;;
LootMisc;Node=>combat naufragé;;;;;
HideOther;;;;;;
Node=>debut;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
[combat naufragé];;;;;;
OtherSpeak : Enculé !;;;;;;
RemoveKarma;;;;;;
LaunchCombat;;;;;;
Node=>plage déserte;;;;;;
;;;;;;
[plage déserte];;;;;;
Narrator : La radeau est vide. Il était à deux doigts de se démanteler.;;;;;;
SetChoices2;;;;;;
Choice : (continuer sa route);Choice : (fouiller);;;;;
Leave;[check];;;;;
;RandomRange2;;;;;PlayerSpeak : Il n'y a vraiment plus grand-chose.
;PlayerSpeak : Pas grand-chose… Sans surprise;Switch=>check;;;;Node=>plage déserte
;Node=>plage déserte;RandomRange3;;;;
;;PlayerSpeak : C'était un bouquineur apparemment…;PlayerSpeak : Une lanterne…;AddToInventory/Misc;;
;;Node=>plage déserte;AddToInventory<Lanterne>/Misc;PlayerSpeak : LASTITEM ? Etonnent…;;
;;;PlayerSpeak : Comment il a eu ça ?;Node=>plage déserte;;
;;;Node=>plage déserte;;;
